Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
PDPallavaram,"Partha Dental Clinic | Pallavaram, Chennai | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Titan Eye Plus & Prestige Cook Wear, Indira Gandhi Road, Pallavaram, Chennai, Tamil Nadu 600043","Partha Dental Skin Hair Clinic - Pallavaram, Chenn",606,103,322,42,26,0,0,73,4,0,0,0
PDElectronicCity,"Partha Dental Clinic - Electronic City, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Below Corporation Bank, Beside Police Station, Electronic City, Bengaluru, Karnataka 560100","Below Corporation Bank, Beside ETC Police station",1536,351,1369,173,119,0,0,164,14,0,0,0
PDBeeramguda,Partha Dental Clinic - Best Dental Clinic in Beeramguda,"Plot No. 1/A, ICRISAT Colony, Phase - I, Opp. Red Bucket Biryani, Near Ameenpur Police station, Beeramguda, Ameenpur Mandal, Sangareddy, Telangana 502032","best dental chain, best dental clinic, best dentist, dental clinic, dental clinic near me, dentist, dentist near me",261,35,292,64,33,0,0,126,1,0,0,0
BGYelahanka,"Partha Dental Clinic - Yelahanka New Town, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Anjaneya Swamy Temple, K.H.B Colony, Yelhanka New Town, Bengaluru, Karnataka 560064",,1463,125,668,91,106,0,0,158,6,0,0,0
PDKalyanNagar,"Partha Dental Clinic - Kalyan Nagar , Kammanahalli, Bangalore |Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Bandhan Bank, 4th Cross, CMR Road, Kalyan Nagar, Bangalore, Karnataka 560043",,1349,122,659,106,39,0,0,93,8,0,0,0
PDKengeriSateliteTown,"Partha Dental Clinic - Kengeri Satellite Town, Bangalore |Invisalign Provider | Braces, Root Canal & Dental Implants","Above Canara Bank, Opp. Kanti Sweets, 1st Main road, Kengeri Satellite Town, Bengaluru, Karnataka 560060",,816,71,580,78,74,0,0,100,8,0,0,0
PDsuchitra,"Partha Dental Clinic - Suchitra X Road, Secunderabad | Skin & Hair – Invisalign Provider | Root Canal & Implants Centre","Beside Mee Seva, Suchitra X Roads, Hyderabad, Telangana 500067",,772,178,563,142,55,0,0,126,15,0,0,0
PDMalleshwaram,"Partha Dental Clinic - Malleshwaram , Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Bata showroom, Beside Reliance Trends, 11th Cross, Sampige Road, Malleshwaram West, Bengaluru, Karnataka 560003",Partha Dental Clinic - Malleswaram Bangalore,1597,164,658,207,61,0,0,116,13,0,0,0
BG Banaswadi,"Partha Dental Clinic -Banswadi, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Kotak bank Atm, Beside Banswadi sub register office, 2nd cross, HRBR Layout, 1st block, Balaji layout, Banswadi, Bengaluru, Karnataka 560043",,908,77,534,96,25,0,0,86,2,0,0,0
HYDNizampet,"Partha Dental Clinic - Nizampet, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Above SBI Bank, Beside Bata Showroom, Nizampet Main Road, Hyderabad, Telangana 500090",,651,108,529,156,56,0,0,154,4,0,0,0
PDMachilipatnam,Partha Dental Clinic – Machilipatnam | దంత వైద్యశాల | Invisalign Provider | Braces & Dental Implant Centre,"opp. Karnataka Bank, near Raja Gari Centre, Jagannadhapuram, Machilipatnam, Andhra Pradesh 521001",,438,25,228,14,38,0,0,82,4,0,0,0
PDSatyanarayanapuram,Partha Dental Clinic – Satyanarayanapuram | దంత వైద్యశాల | Best Dental Clinic In Vijayawada,"Beside US Bake House, Bhagath Singh road, Satyanarayanapuram, Vijayawada, Andhra Pradesh 520011",Partha Dental Clinic Vijayawada Satyanarayanapuram,615,82,309,50,14,0,0,45,2,0,0,0
PDNallagandla,"Partha Dental Clinic - Nallagandla | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","above HDFC Bank, opp. Vijaya Diagnostic Centre, Nallagandla, Telangana 500019","Partha Dental, Nallagandla, Hyderabad",620,91,436,87,31,0,0,102,2,0,0,0
PDOngole,"Partha Dental Clinic – Ongole | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Beside Paradise Restaurant, Opp. Power Office Compound, Kurnool Road, Ongole, Andhra Pradesh 523001","Dental Clinic, Dentist near me, Partha Dental Clinic - Ongole, Adhra Pradesh, best dental clinic",682,54,304,37,44,0,0,93,3,0,0,0
HYDASRAO,Partha Dental Clinic - A S Rao Nagar | దంత వైద్యశాల | Invisalign Provider,"Opposite Bhima Jewellers, beside Chroma Electronics, AS Rao Nagar, Secundrabad, Telangana 500062",,792,107,395,44,57,0,0,115,3,0,0,0
BGJayaNagar,"Partha Dental Clinic - Jayanagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Ragigudda Arch, Near Bus Stop, Jayanagar, Bengaluru, Karnataka 560069","Partha Dental Clinic - Jayanagar, Bangalore",1526,422,1050,274,53,0,0,139,29,0,0,0
PDChittoor,"Partha Dental Clinic – Chittoor | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Chandra Complex, Above Neela Medicals, Sundaraiah Street, Chittoor, Andhra Pradesh 517001",,727,103,420,38,49,0,0,49,11,0,0,0
Marathahalli,"Partha Dental Clinic - Marathahalli, Bangalore |Invisalign Provider | Braces, Root Canal & Dental Implants","XP42+65 Bengaluru, Karnataka, Bengaluru, Karnataka 560037",,1446,308,1222,156,104,0,0,225,17,0,0,0
PDAttapur,"Partha Dental Clinic - Attapur, Hyderabad | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Dental Implants","Above Airtel Office, G & G Trade Center, Opp: Pillar No - 135, Attapur, Hyderabad, Telangana 500048",,1098,133,784,175,103,0,0,137,11,0,0,0
PDKushaiguda,"Partha Dental Clinic - Kushaiguda | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants","Next to Udupi Hotel, beside Union Bank, Kushaiguda, Secunderabad, Telangana 500062",,301,48,269,57,36,0,0,75,6,0,0,0
PDKanuru,Partha Dental Clinic,"above More Supermarket, near Times Hospital, Kanuru, Andhra Pradesh 520007",,587,71,408,47,28,0,0,81,7,0,0,0
PDPragathiNagar,"Partha Dental Clinic - Pragathi Nagar, Hyderabad | దంత వైద్యశాల |Invisalign Provider | Braces, RCT & Dental Implants","Above Spenser & Axis Bank, Elephant Circle, Pragathi Nagar, Hyderabad, Telangana 500090",,539,80,504,95,66,0,0,123,5,0,0,0
APKadapa,Partha Dental Clinic – Kadapa | దంత వైద్యశాల | Invisalign Provider | Root Canal & Dental Implant Centre,"Beside Old Municipal Office, Near Ramesh Theater, Kadapa, Andhra Pradesh 516001","Partha Dental Clinic, Kadapa, Andhra Pradesh",887,48,278,19,39,0,0,73,8,0,0,0
PDAnakapalle,"Partha Dental Clinic – Anakapalle | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. RTC Bus Stand, Main Road, Anakapalle, Andhra Pradesh 531001","Partha Dental, Anakapalle",537,39,261,29,34,0,0,36,2,0,0,0
PDThanisandra,"Partha Dental Clinic -Thanisandra, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Opp. Bharat Petrol Bunk, Thanisandra Main Rd, Bangalore, Karnataka 560077","Partha Dental Skin Hair Dr.S.R.K. Nagar, Bengaluru",933,37,316,70,23,0,0,45,1,0,0,0
PDBrookefield,"Partha Dental Clinic -Brookefield, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","XPC6+5WP, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560037",PDBrookefield,995,143,701,100,80,0,0,98,5,0,0,0
PDMadipakkam,"Partha Dental Clinic | Madipakkam, Chennai – Invisalign Provider | Root Canal & Dental Implants.Braces.Aligners","927, Bazaar Main Road, Ram Nagar South, Madipakkam, Chennai, Tamil Nadu 600091",,254,37,208,39,9,0,0,85,0,0,0,0
AP Bhavanipuram VJA,Partha Dental Clinic - Bhavanipuram | Best Dental Clinic in Vijayawada,"Above HDFC Bank, Near Swathi Theatre, Crombay Road, Bhavanipuram, Vijayawada, Andhra Pradesh 520012","Partha Dental Clinic - Bhavanipuram, Vijayawada",811,172,414,49,66,0,0,113,8,0,0,0
